palabra_EN;speling;palabra_ES;frecuencia;link_imagen;Significado
Host;h??st;Anfitrión;3;https://media.istockphoto.com/id/1078076590/photo/greeting-guests-at-housewarming-party.jpg?s=612x612&w=0&k=20&c=XrrtyIlG7AYuLiS5DOhVd6wFu2qM3750hsRRMhHAiHs=;a person who receives or entertains guests.
world;world;mundo;1;https://definicion.de/wp-content/uploads/2010/10/mundo-1.jpg;the earth and all people and things on it
apple;a - pple;manzana;2;https://www.recetasnestle.com.pe/sites/default/files/2022-07/tipos-de-manzana-royal-gala.jpg;a round fruit with red or green skin and firm white flesh
banana;ba-na-na;plátano;2;https://www.ifood.it/wp-content/uploads/2023/11/banana-matura.jpg;a long curved fruit with a yellow skin and soft sweet flesh
cat;kæt;gato;3;https://s1.eestatic.com/2023/03/10/curiosidades/mascotas/747436034_231551832_1706x1280.jpg;a small domesticated carnivorous mammal with soft fur, a short snout, and retractile claws
dog;dag;perro;3;https://static.fundacion-affinity.org/cdn/farfuture/PVbbIC-0M9y4fPbbCsdvAD8bcjjtbFc0NSP3lRwlWcE/mtime:1643275542/sites/default/files/los-10-sonidos-principales-del-perro.jpg;a domesticated carnivorous mammal that typically has a long snout, an acute sense of smell, and a barking, howling, or whining voice
house;haus;casa;1;https://definicion.de/wp-content/uploads/2011/01/casa-2.jpg;a building for human habitation, especially one that is lived in by a family or small group of people
car;kar;coche;2;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/2019_Toyota_Corolla_Icon_Tech_VVT-i_Hybrid_1.8.jpg/1200px-2019_Toyota_Corolla_Icon_Tech_VVT-i_Hybrid_1.8.jpg;a road vehicle, typically with four wheels, powered by an internal combustion engine and able to carry a small number of people
computer;kam-piu-ter;computadora;3;https://i.ebayimg.com/images/g/MbUAAOSwI7ZimiI5/s-l1600.jpg;an electronic device for storing and processing data, typically in binary form, according to instructions given to it in a variable program
book;buk;libro;1;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Gutenberg_Bible%2C_Lenox_Copy%2C_New_York_Public_Library%2C_2009._Pic_01.jpg/300px-Gutenberg_Bible%2C_Lenox_Copy%2C_New_York_Public_Library%2C_2009._Pic_01.jpg;a written or printed work consisting of pages glued or sewn together along one side and bound in covers
Host;h??st;Host;3;https://media.istockphoto.com/id/1078076590/photo/greeting-guests-at-housewarming-party.jpg?s=612x612&w=0&k=20&c=XrrtyIlG7AYuLiS5DOhVd6wFu2qM3750hsRRMhHAiHs=;a person who receives or entertains guests.
